ACCOUNT_TYPE,TXN_YEAR,TXN_MONTH,TOT_BALANCE
Savings account,2022,1,528574780.0
NRI account,2022,1,526421464.7
Salary account,2022,1,512406174.1
NRI account,2021,12,409667380.0
Savings account,2021,12,408916306.5
Salary account,2021,12,388653424.8
NRI account,2021,1,387727994.0
NRI account,2022,6,386299193.2
Savings account,2021,1,385773258.0
NRI account,2022,11,384788928.9
NRI account,2022,10,379296121.3
Savings account,2022,6,376330703.0
NRI account,2022,9,374682260.3
NRI account,2022,5,369880618.6
NRI account,2022,8,368768844.8
Salary account,2021,1,368387098.1
Salary account,2022,6,367175864.1
Savings account,2022,10,365157548.0
Savings account,2022,11,363710100.6
Salary account,2022,10,358953084.3
NRI account,2022,4,356396516.9
Savings account,2022,8,354768966.4
Savings account,2022,5,354604684.8
NRI account,2022,7,353724318.0
Savings account,2022,9,353187040.8
Salary account,2022,11,351720531.3
NRI account,2022,3,350696218.5
Salary account,2022,9,345582243.0
Savings account,2022,4,345023092.6
Salary account,2022,8,342115644.6
Savings account,2022,7,341379774.6
Salary account,2022,5,340253174.7
Savings account,2022,3,336506832.8
Savings account,2021,11,333454747.9
Salary account,2022,7,332572976.2
NRI account,2021,11,331923220.0
Salary account,2022,4,330391704.6
NRI account,2021,10,328189327.2
Savings account,2021,10,328106296.9
Salary account,2022,3,322379566.8
Salary account,2021,11,320507347.4
Savings account,2021,9,318704929.1
NRI account,2021,9,318646889.0
Salary account,2021,10,314143030.0
Savings account,2021,6,313126627.7
NRI account,2021,6,312610131.0
Savings account,2021,8,308633485.4
NRI account,2021,8,307449211.3
NRI account,2022,2,300222095.6
Salary account,2021,9,299959486.7
Savings account,2020,12,299953550.5
NRI account,2020,12,298928044.1
Savings account,2022,2,295626874.8
NRI account,2021,7,293727474.9
Savings account,2021,7,293670580.8
Salary account,2021,6,292356864.4
Savings account,2021,5,291751456.4
NRI account,2021,5,290914966.9
Salary account,2021,8,288905001.1
Salary account,2022,2,287074214.2
Salary account,2020,12,282490811.5
Savings account,2021,4,279028506.7
NRI account,2021,4,275083056.9
Salary account,2021,7,274985194.9
Salary account,2021,5,274081391.1
NRI account,2021,3,263307235.1
Salary account,2021,4,262585364.8
Savings account,2021,3,261747339.8
NRI account,2022,12,258823189.9
Salary account,2021,3,251490853.7
Savings account,2022,12,243632313.6
Savings account,2020,1,240913288.9
Salary account,2022,12,239449806.7
NRI account,2020,1,236796574.7
NRI account,2020,11,236004812.6
Savings account,2020,11,235002375.2
NRI account,2020,10,232634116.7
Savings account,2020,10,232606112.8
Salary account,2020,11,228410484.8
Savings account,2021,2,228356698.9
Salary account,2020,1,228075952.8
NRI account,2021,2,223356470.0
NRI account,2020,9,220891713.4
Salary account,2021,2,219546502.8
Savings account,2020,9,218386272.4
Salary account,2020,10,215680613.6
NRI account,2020,3,215468655.0
Savings account,2020,3,213938874.9
Savings account,2020,8,207047112.7
Salary account,2020,9,205678507.1
NRI account,2020,8,204186507.6
NRI account,2020,6,201655482.8
Salary account,2020,3,200821521.8
Savings account,2020,6,199994164.4
Salary account,2020,8,199733531.9
NRI account,2020,7,197299104.1
Savings account,2020,7,193540362.3
Salary account,2020,6,186231208.3
NRI account,2019,12,184406954.7
NRI account,2020,5,184032495.0
Savings account,2019,12,182798875.4
Savings account,2020,5,179480358.5
Salary account,2020,7,178778798.2
Salary account,2019,12,177677618.4
Salary account,2020,5,177456169.8
NRI account,2020,4,175137702.2
Savings account,2020,4,169974497.4
NRI account,2019,1,168253291.0
Salary account,2020,4,164093377.8
Savings account,2019,1,161569662.4
Salary account,2019,1,156776790.2
NRI account,2019,11,152231747.7
Savings account,2019,11,147436378.3
Savings account,2019,10,146200400.6
Salary account,2019,11,145682163.9
NRI account,2019,10,145344989.7
Salary account,2019,10,141564599.2
Savings account,2019,9,138457186.6
NRI account,2019,9,138303555.4
Salary account,2019,9,136983608.8
NRI account,2019,8,136192167.9
NRI account,2019,6,135158655.5
Savings account,2019,6,134947989.9
Savings account,2019,8,133722660.7
Salary account,2019,6,132239770.0
NRI account,2018,12,131114006.3
Salary account,2019,8,130465015.9
NRI account,2019,7,128486270.7
Savings account,2019,7,127889151.4
Savings account,2018,12,127582675.9
Savings account,2019,5,127401332.5
NRI account,2019,5,124031662.2
Salary account,2018,12,123355547.8
Salary account,2019,7,122847400.5
Salary account,2019,5,121951186.3
Savings account,2019,4,119550912.2
Savings account,2019,3,115698990.0
NRI account,2019,4,115671189.9
Salary account,2019,4,112510792.9
NRI account,2019,3,112026126.4
Salary account,2019,3,106660145.3
NRI account,2018,11,105734701.1
NRI account,2018,10,102928581.2
Savings account,2018,11,101947221.1
Savings account,2018,10,100117074.1
Salary account,2018,1,100057739.6
NRI account,2018,9,99671939.7
Salary account,2018,11,98432298.5
Salary account,2018,10,97814023.3
NRI account,2018,6,97453569.2
Savings account,2018,1,96160465.1
Salary account,2018,9,95196482.4
Savings account,2020,2,94777198.4
Savings account,2019,2,94307531.8
NRI account,2019,2,93927007.9
Savings account,2018,9,93895109.8
Savings account,2018,6,93694721.1
Salary account,2019,2,92484267.7
NRI account,2018,8,92464833.3
