TXN_YEAR,TXN_MONTH,BANK,ACCOUNT_TYPE,TOT_ACCOUNT,TOT_TXNS,DEPOSIT_COUNT,WITHDRAWAL_COUNT,TOT_BALANCE,DEPOSIT_PERC,WITHDRAWAL_PERC,AVG_BALANCE,TPA
2017,5,Moneta Money Bank,Savings account,20,1397,483,914,33768724.3,34.57,65.43,1688436.2150000,70
2017,5,NBS BANK,NRI account,148,8127,3397,4985,243514984.1,41.80,61.34,1645371.5141892,55
2017,5,NBS BANK,Salary account,157,8568,3782,5473,309569729.1,44.14,63.88,1971781.7140127,55
2017,5,NBS BANK,Savings account,160,8672,3761,5335,292628675.5,43.37,61.52,1828929.2218750,54
2017,5,Northern Bank,NRI account,148,8171,3320,5097,242180382.5,40.63,62.38,1636353.9358108,55
2017,5,Northern Bank,Salary account,158,8684,3768,5638,309137017.5,43.39,64.92,1956563.4018987,55
2017,5,Northern Bank,Savings account,160,9047,3847,5623,305064780.6,42.52,62.15,1906654.8787500,57
2017,5,PPF Bank,NRI account,21,1424,210,1214,46716004.9,14.75,85.25,2224571.6619048,68
2017,5,PPF Bank,Salary account,27,1777,348,1561,55849671.4,19.58,87.84,2068506.3481481,66
2017,5,PPF Bank,Savings account,16,1005,278,727,25293741.9,27.66,72.34,1580858.8687500,63
2017,5,Raiffeisen bank,NRI account,16,1122,139,983,33298524.5,12.39,87.61,2081157.7812500,70
2017,5,Raiffeisen bank,Salary account,21,1307,138,1245,36538387.0,10.56,95.26,1739923.1904762,62
2017,5,Raiffeisen bank,Savings account,14,891,344,547,17142947.0,38.61,61.39,1224496.2142857,64
2017,5,SKY BANK,NRI account,147,7667,3265,4668,231616128.3,42.59,60.88,1575619.9204082,52
2017,5,SKY BANK,Salary account,157,8035,3609,5112,297809619.9,44.92,63.62,1896876.5598726,51
2017,5,SKY BANK,Savings account,160,8200,3545,5075,282439814.6,43.23,61.89,1765248.8412500,51
2017,5,Sky Bank,NRI account,148,8170,3371,5055,242391498.2,41.26,61.87,1637780.3932432,55
2017,5,Sky Bank,Salary account,158,8577,3803,5492,306210151.8,44.34,64.03,1938038.9354430,54
2017,5,Sky Bank,Savings account,160,8733,3735,5445,296707953.2,42.77,62.35,1854424.7075000,55
2017,5,Southern Bank,NRI account,148,4923,2619,2464,164760161.3,53.20,50.05,1113244.3331081,33
2017,5,Southern Bank,Salary account,158,5468,3051,2892,217406636.6,55.80,52.89,1375991.3708861,35
2017,5,Southern Bank,Savings account,160,5346,2950,2721,211402744.6,55.18,50.90,1321267.1537500,33
2017,5,Trinity Bank,NRI account,23,1556,0,1645,54937605.1,0.00,105.72,2388591.5260870,68
2017,5,Trinity Bank,Salary account,20,1372,279,1093,26292029.0,20.34,79.66,1314601.4500000,69
2017,5,Trinity Bank,Savings account,23,1546,275,1271,42381954.0,17.79,82.21,1842693.6521739,67
2017,5,UniCredit Bank,NRI account,15,1093,279,814,23772379.5,25.53,74.47,1584825.3000000,73
2017,5,UniCredit Bank,Salary account,19,1187,205,982,28195561.3,17.27,82.73,1483976.9105263,62
2017,5,UniCredit Bank,Savings account,14,914,206,726,21463431.5,22.54,79.43,1533102.2500000,65
2017,6,Air Bank ,NRI account,20,1436,410,1026,39174778.4,28.55,71.45,1958738.9200000,72
2017,6,Air Bank ,Salary account,26,1835,619,1279,54180829.8,33.73,69.70,2083878.0692308,71
2017,6,Air Bank ,Savings account,18,1294,209,1085,34881240.9,16.15,83.85,1937846.7166667,72
2017,6,Bank Creditas,NRI account,23,1427,411,1016,40340062.0,28.80,71.20,1753915.7391304,62
2017,6,Bank Creditas,Salary account,21,1430,625,805,40844384.5,43.71,56.29,1944970.6904762,68
