DISTRICT_ID,DISTRICT_NAME,AVERAGE_SALARY,AVG_AGE,MALE_CLIENT,FEMALE_CLIENT,MALE_FEMALE_RATIO_PERC,TOTAL_CLIENT
39,Most,10446,41,22,30,136.36,52
40,Teplice,9317,47,36,23,63.89,59
41,Usti nad Labem,9832,40,25,20,80.00,45
42,Havlickuv Brod,8388,43,28,31,110.71,59
43,Hradec Kralove,9425,44,27,28,103.70,55
44,Chrudim,8254,43,33,21,63.64,54
45,Jicin,8390,44,27,25,92.59,52
46,Nachod,8369,44,35,41,117.14,76
47,Pardubice,9538,44,34,29,85.29,63
48,Rychnov nad Kneznou,9060,41,28,32,114.29,60
49,Semily,8208,45,22,24,109.09,46
50,Svitavy,8187,44,32,29,90.63,61
51,Trutnov,8541,46,42,19,45.24,61
52,Usti nad Orlici,8363,41,37,36,97.30,73
53,Blansko,8240,41,35,22,62.86,57
54,Brno - mesto,9897,42,90,65,72.22,155
55,Brno - venkov,8743,50,26,37,142.31,63
56,Breclav,8772,40,34,20,58.82,54
57,Hodonin,8720,46,23,28,121.74,51
58,Jihlava,8757,45,27,17,62.96,44
59,Kromeriz,8444,42,33,31,93.94,64
60,Prostejov,8441,42,20,41,205.00,61
61,Trebic,8814,40,31,23,74.19,54
62,Uherske Hradiste,8544,42,36,23,63.89,59
63,Vyskov,8288,45,29,27,93.10,56
64,Zlin,9624,44,60,49,81.67,109
65,Znojmo,8403,45,29,15,51.72,44
66,Zdar nad Sazavou,8512,44,25,41,164.00,66
67,Bruntal,8110,49,24,21,87.50,45
68,Frydek - Mistek,9893,45,46,40,86.96,86
69,Jesenik,8173,40,33,28,84.85,61
70,Karvina,10177,44,88,81,92.05,169
71,Novy Jicin,8678,44,19,29,152.63,48
72,Olomouc,8994,48,48,56,116.67,104
73,Opava,8746,43,31,29,93.55,60
74,Ostrava - mesto,10673,43,87,93,106.90,180
75,Prerov,8819,47,26,30,115.38,56
76,Sumperk,8369,47,30,31,103.33,61
77,Vsetin,8909,43,29,21,72.41,50
1,Hl.m. Praha,12541,44,338,325,96.15,663
2,Benesov,8507,38,23,23,100.00,46
3,Beroun,8980,45,38,25,65.79,63
4,Kladno,9753,44,23,27,117.39,50
5,Kolin,9307,42,37,34,91.89,71
6,Kutna Hora,8546,45,23,30,130.43,53
7,Melnik,9920,43,19,26,136.84,45
8,Mlada Boleslav,11277,41,42,27,64.29,69
9,Nymburk,8899,39,29,31,106.90,60
10,Praha - vychod,10124,47,21,33,157.14,54
11,Praha - zapad,9622,45,31,25,80.65,56
12,Pribram,8754,45,27,17,62.96,44
13,Rakovnik,8598,47,22,31,140.91,53
14,Ceske Budejovice,10045,43,25,20,80.00,45
15,Cesky Krumlov,9045,42,33,30,90.91,63
16,Jindrichuv Hradec,8427,44,32,29,90.63,61
17,Pelhrimov,8114,44,34,20,58.82,54
18,Pisek,8968,41,31,29,93.55,60
19,Prachatice,8402,45,26,40,153.85,66
20,Strakonice,8547,44,26,17,65.38,43
21,Tabor,9104,45,25,32,128.00,57
22,Domazlice,8620,44,25,26,104.00,51
23,Cheb,8624,44,30,23,76.67,53
24,Karlovy Vary,8991,46,18,25,138.89,43
25,Klatovy,8554,47,24,24,100.00,48
26,Plzen - mesto,10787,44,26,24,92.31,50
27,Plzen - jih,8561,42,30,25,83.33,55
28,Plzen - sever,8594,42,28,26,92.86,54
29,Rokycany,8843,42,25,29,116.00,54
30,Sokolov,9650,45,27,21,77.78,48
31,Tachov,8930,44,27,32,118.52,59
32,Ceska Lipa,9272,45,28,27,96.43,55
33,Decin,8705,47,39,30,76.92,69
34,Chomutov,9675,52,16,29,181.25,45
35,Jablonec n. Nisou,8867,42,37,19,51.35,56
36,Liberec,9198,41,35,32,91.43,67
37,Litomerice,9065,41,22,26,118.18,48
38,Louny,8965,43,37,28,75.68,65
